session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,rcdcnycy,1,hotellingmarketup_00,holdon,1486577831,357,1,True
1,1,rcdcnycy,2,hotellingmarketup_00,Init,1486577839,8,1,True
1,1,rcdcnycy,3,hotellingmarkup_2p_075t_01,round_init_wait,1486577842,3,1,True
1,1,rcdcnycy,4,hotellingmarkup_2p_075t_01,WaitPage1,1486577843,1,1,False
1,1,rcdcnycy,5,hotellingmarkup_2p_075t_01,task,1486577850,7,1,False
1,1,rcdcnycy,6,hotellingmarkup_2p_075t_01,WaitPage,1486577850,0,1,False
1,1,rcdcnycy,11,hotellingmarkup_2p_075t_01,task,1486577858,8,2,False
1,1,rcdcnycy,12,hotellingmarkup_2p_075t_01,WaitPage,1486577858,0,2,False
1,1,rcdcnycy,17,hotellingmarkup_2p_075t_01,task,1486577865,7,3,False
1,1,rcdcnycy,18,hotellingmarkup_2p_075t_01,WaitPage,1486577866,1,3,False
1,1,rcdcnycy,23,hotellingmarkup_2p_075t_01,task,1486577873,7,4,False
1,1,rcdcnycy,24,hotellingmarkup_2p_075t_01,WaitPage,1486577873,0,4,False
1,1,rcdcnycy,29,hotellingmarkup_2p_075t_01,task,1486577881,8,5,False
1,1,rcdcnycy,30,hotellingmarkup_2p_075t_01,WaitPage,1486577881,0,5,False
1,1,rcdcnycy,35,hotellingmarkup_2p_075t_01,task,1486577888,7,6,False
1,1,rcdcnycy,36,hotellingmarkup_2p_075t_01,WaitPage,1486577888,0,6,False
1,1,rcdcnycy,41,hotellingmarkup_2p_075t_01,task,1486577896,8,7,False
1,1,rcdcnycy,42,hotellingmarkup_2p_075t_01,WaitPage,1486577896,0,7,False
1,1,rcdcnycy,47,hotellingmarkup_2p_075t_01,task,1486577903,7,8,False
1,1,rcdcnycy,48,hotellingmarkup_2p_075t_01,WaitPage,1486577903,0,8,False
1,1,rcdcnycy,53,hotellingmarkup_2p_075t_01,task,1486577911,8,9,False
1,1,rcdcnycy,54,hotellingmarkup_2p_075t_01,WaitPage,1486577911,0,9,False
1,1,rcdcnycy,59,hotellingmarkup_2p_075t_01,task,1486577918,7,10,False
1,1,rcdcnycy,60,hotellingmarkup_2p_075t_01,WaitPage,1486577919,1,10,False
1,1,rcdcnycy,65,hotellingmarkup_2p_075t_01,task,1486577926,7,11,False
