participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.subperiod_time,player.period_number,player.subperiod_number,player.rp,player.mc,player.transport_cost,player.loc,player.price,player.next_subperiod_price,player.boundary_lo,player.boundary_hi,player.prev_round_payoff,player.prev_round_cumulative_payoff,player.paid_period,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,62ueek4o,SSEL_B_01,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.77.117,2017-10-18 08:27:29.395857+00:00,0,1,,,2.29,3,7,1,0,0.9,0.05,0.4,0.625,0.923988120251863,0.62,0.0,0.0,0.0,0.0,,0.00,2,1,umllny6i,,,,,,0
2,uczrwkn4,SSEL_B_02,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.76.142,2017-10-18 08:27:38.630281+00:00,0,1,,,7.07,2,7,1,0,0.9,0.05,0.4,0.375,0.940710811787077,0.94,0.0,0.0,0.0,0.0,,0.00,6,1,umllny6i,,,,,,0
3,kpdf98x3,SSEL_B_03,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.77.115,2017-10-18 08:27:42.284358+00:00,0,1,,,4.54,4,7,1,0,0.9,0.05,0.4,0.875,0.727307440948087,0.64,0.0,0.0,0.0,0.0,,0.00,6,1,umllny6i,,,,,,0
4,kywq45vp,SSEL_B_11,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.76.26,2017-10-18 08:27:59.090624+00:00,0,1,,,3.69,1,7,1,0,0.9,0.05,0.4,0.125,0.358043069215516,0.25,0.0,0.0,0.0,0.0,,0.00,1,1,umllny6i,,,,,,0
5,0nmc2u8z,SSEL_B_06,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.77.203,2017-10-18 08:28:14.306269+00:00,0,1,,,4.27,2,7,1,0,0.9,0.05,0.4,0.375,0.973912213352791,0.28,0.0,0.0,0.0,0.0,,0.00,1,1,umllny6i,,,,,,0
6,eq0foj4s,SSEL_B_07,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.77.201,2017-10-18 08:28:17.388119+00:00,0,1,,,2.95,4,7,1,0,0.9,0.05,0.4,0.875,0.224281200251452,0.22,0.0,1.0,0.0,0.0,,0.00,1,1,umllny6i,,,,,,0
7,uow6b95e,SSEL_B_08,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.77.202,2017-10-18 08:28:20.985574+00:00,0,1,,,7.17,3,7,1,0,0.9,0.05,0.4,0.625,0.0166991874885594,0.38,0.0,1.0,0.0,0.0,,0.00,6,1,umllny6i,,,,,,0
8,fusf1k0l,SSEL_B_09,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.76.120,2017-10-18 08:28:24.615633+00:00,0,1,,,13.51,2,7,1,0,0.9,0.05,0.4,0.375,0.00332299859762253,0.31,0.0,1.0,0.0,0.0,,0.00,2,1,umllny6i,,,,,,0
9,oje2ku9s,SSEL_B_10,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.77.174,2017-10-18 08:28:26.693609+00:00,0,1,,,6.17,4,7,1,0,0.9,0.05,0.4,0.875,0.83665111771679,0.34,0.0,0.0,0.0,0.0,,0.00,2,1,umllny6i,,,,,,0
10,ewkwu4zw,SSEL_B_12,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.76.104,2017-10-18 08:28:40.634950+00:00,0,1,,,11.92,3,7,1,0,0.9,0.05,0.4,0.625,0.511619860557917,0.71,0.0,0.0,0.0,0.0,,0.00,1,1,umllny6i,,,,,,0
11,fr687nqq,SSEL_B_13,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.76.188,2017-10-18 08:28:43.529004+00:00,0,1,,,2.54,1,7,1,0,0.9,0.05,0.4,0.125,0.651358696522401,0.63,0.0,0.0,0.0,0.0,,0.00,4,1,umllny6i,,,,,,0
12,1oguzp9y,SSEL_B_14,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.77.130,2017-10-18 08:28:50.188002+00:00,0,1,,,8.04,1,7,1,0,0.9,0.05,0.4,0.125,0.743607776163369,0.71,0.0,0.0,0.0,0.0,,0.00,3,1,umllny6i,,,,,,0
13,3sawwn4o,SSEL_B_15,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.76.62,2017-10-18 08:28:53.216470+00:00,0,1,,,12.30,1,7,1,0,0.9,0.05,0.4,0.125,0.268902984951965,0.44,0.0,0.0,0.0,0.0,,0.00,6,1,umllny6i,,,,,,0
14,jvwmw2mp,SSEL_B_16,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.77.185,2017-10-18 08:28:55.684421+00:00,0,1,,,7.72,2,7,1,0,0.9,0.05,0.4,0.375,0.895227570539165,0.81,0.0,0.0,0.0,0.0,,0.00,3,1,umllny6i,,,,,,0
15,3tmb0v04,SSEL_B_17,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.76.140,2017-10-18 08:29:01.141054+00:00,0,1,,,8.75,1,7,1,0,0.9,0.05,0.4,0.125,0.603702936356596,0.69,0.0,0.0,0.0,0.0,,0.00,2,1,umllny6i,,,,,,0
16,q3y4moim,SSEL_B_18,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.77.145,2017-10-18 08:29:15.455571+00:00,0,1,,,8.96,4,7,1,0,0.9,0.05,0.4,0.875,0.843341318959433,0.68,0.0,0.0,0.0,0.0,,0.00,5,1,umllny6i,,,,,,0
17,4alm261o,SSEL_B_19,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.76.67,2017-10-18 08:29:21.912718+00:00,0,1,,,4.16,3,7,1,0,0.9,0.05,0.4,0.625,0.281938659055109,0.22,0.41688,0.83313,0.0,0.0,,0.00,5,1,umllny6i,,,,,,0
18,2bmpi7ou,SSEL_B_20,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.76.136,2017-10-18 08:29:26.021968+00:00,0,1,,,6.44,1,7,1,0,0.9,0.05,0.4,0.125,0.248428305696282,0.56,0.83313,0.41688,0.0,0.0,,0.00,5,1,umllny6i,,,,,,0
19,eexz3kwl,SSEL_B_21,0,1755,1755,hotellingmarkup_payment_20,1,end,10.224.77.96,2017-10-18 08:29:31.187343+00:00,0,1,,,5.94,4,7,1,0,0.9,0.05,0.4,0.875,0.251146452346239,0.83,0.0,1.0,0.0,0.0,,0.00,4,1,umllny6i,,,,,,0
