participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.subperiod_time,player.period_number,player.subperiod_number,player.rp,player.mc,player.transport_cost,player.loc,player.price,player.next_subperiod_price,player.boundary_lo,player.boundary_hi,player.prev_round_payoff,player.prev_round_cumulative_payoff,player.paid_period,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,05am19pf,SSEL_B_01,0,2005,2005,hotellingmarkup_payment_20,1,end,10.224.77.117,2017-10-18 05:12:46.065578+00:00,0,1,,,56.92,1,7,1,0,1.0,0.05,0.1,0.25,0.449577543995358,0.34,0.0,0.0,0.0,0.0,,0.00,3,1,vj364csp,,,,,,0
2,004tjtgi,SSEL_B_02,0,2005,2005,hotellingmarkup_payment_20,1,end,10.224.76.142,2017-10-18 05:16:57.940791+00:00,0,1,,,83.09,2,7,1,0,1.0,0.05,0.1,0.75,0.237914287906335,0.76,0.0,1.0,0.0,0.0,,0.00,8,1,vj364csp,,,,,,0
3,vy72fzrp,SSEL_B_03,0,2005,2005,hotellingmarkup_payment_20,1,end,10.224.77.115,2017-10-18 05:17:03.446742+00:00,0,1,,,26.98,1,7,1,0,1.0,0.05,0.1,0.25,0.810826186268266,0.75,0.0,0.0,0.0,0.0,,0.00,1,1,vj364csp,,,,,,0
4,72oco3g6,SSEL_B_04,0,2005,2005,hotellingmarkup_payment_20,1,end,10.224.76.198,2017-10-18 05:17:11.061266+00:00,0,1,,,108.70,1,7,1,0,1.0,0.05,0.1,0.25,0.577498320653826,0.85,0.0,1.0,0.0,0.0,,0.00,6,1,vj364csp,,,,,,0
5,zz5k84jg,SSEL_B_05,0,2005,2005,hotellingmarkup_payment_20,1,end,10.224.76.71,2017-10-18 05:17:14.198340+00:00,0,1,,,55.12,1,7,1,0,1.0,0.05,0.1,0.25,0.450750276831576,0.65,0.0,1.0,0.0,0.0,,0.00,2,1,vj364csp,,,,,,0
6,w4wlg05y,SSEL_B_11,0,2005,2005,hotellingmarkup_payment_20,1,end,10.224.76.26,2017-10-18 05:17:40.927167+00:00,0,1,,,33.64,2,7,1,0,1.0,0.05,0.1,0.75,0.0539632083207174,0.36,0.0,1.0,0.0,0.0,,0.00,3,1,vj364csp,,,,,,0
7,cypf4pzj,SSEL_B_10,0,2005,2005,hotellingmarkup_payment_20,1,end,10.224.77.174,2017-10-18 05:17:46.181552+00:00,0,1,,,55.46,2,7,1,0,1.0,0.05,0.1,0.75,0.694002832721348,0.64,0.0,1.0,0.0,0.0,,0.00,1,1,vj364csp,,,,,,0
8,qr6mkh42,SSEL_B_09,0,2005,2005,hotellingmarkup_payment_20,1,end,10.224.76.120,2017-10-18 05:17:52.274019+00:00,0,1,,,142.10,2,7,1,0,1.0,0.05,0.1,0.75,0.369495515155499,0.58,0.0,0.0,0.0,0.0,,0.00,5,1,vj364csp,,,,,,0
9,ajapsm7g,SSEL_B_08,0,2005,2005,hotellingmarkup_payment_20,1,end,10.224.77.202,2017-10-18 05:18:04.690411+00:00,0,1,,,57.95,1,7,1,0,1.0,0.05,0.1,0.25,0.0525621467375819,0.52,0.0,1.0,0.0,0.0,,0.00,7,1,vj364csp,,,,,,0
10,jti71qn2,SSEL_B_07,0,2005,2005,hotellingmarkup_payment_20,1,end,10.224.77.201,2017-10-18 05:18:10.009797+00:00,0,1,,,79.78,2,7,1,0,1.0,0.05,0.1,0.75,0.900689277164996,0.82,0.0,0.0,0.0,0.0,,0.00,6,1,vj364csp,,,,,,0
